time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-28 00:00:00+00:00,11,7,42,14
2025-03-29 00:00:00+00:00,15,8,32,3
2025-03-30 00:00:00+00:00,6,5,10,7
2025-03-31 00:00:00+00:00,10,8,65,16
2025-04-01 00:00:00+00:00,26,13,146,14
2025-04-02 00:00:00+00:00,53,15,255,10
2025-04-03 00:00:00+00:00,8,6,49,13
2025-04-04 00:00:00+00:00,42,11,142,14
2025-04-05 00:00:00+00:00,7,6,23,6
2025-04-06 00:00:00+00:00,14,9,46,6
2025-04-07 00:00:00+00:00,18,10,54,14
2025-04-08 00:00:00+00:00,10,8,102,23
2025-04-09 00:00:00+00:00,4,3,86,22
2025-04-10 00:00:00+00:00,5,4,47,13
