time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-22 00:00:00+00:00,6,6,87,21
2025-07-23 00:00:00+00:00,4,4,45,21
2025-07-24 00:00:00+00:00,50,28,301,20
2025-07-25 00:00:00+00:00,12,11,68,14
2025-07-26 00:00:00+00:00,4,4,9,6
2025-07-27 00:00:00+00:00,13,8,47,7
2025-07-28 00:00:00+00:00,15,13,44,14
2025-07-29 00:00:00+00:00,6,6,66,26
2025-07-30 00:00:00+00:00,8,8,51,21
2025-07-31 00:00:00+00:00,5,5,17,10
2025-08-01 00:00:00+00:00,6,6,12,8
2025-08-02 00:00:00+00:00,8,8,25,11
2025-08-03 00:00:00+00:00,5,5,18,7
2025-08-04 00:00:00+00:00,8,7,46,13
