url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,128,77
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,67,49
/PetervanLunteren/AddaxAI/issues/92,23,3
/PetervanLunteren/AddaxAI/releases,22,13
/PetervanLunteren/AddaxAI/issues,18,9
/PetervanLunteren/AddaxAI/tree/main/install_files,17,12
/PetervanLunteren/AddaxAI/tree/main/model_info,17,6
/PetervanLunteren/AddaxAI/tree/main,16,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,15,9
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,15,7
