time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-26 00:00:00+00:00,5,3,26,15
2025-06-27 00:00:00+00:00,13,11,42,16
2025-06-28 00:00:00+00:00,5,5,4,4
2025-06-29 00:00:00+00:00,1,1,3,3
2025-06-30 00:00:00+00:00,38,19,164,15
2025-07-01 00:00:00+00:00,7,7,37,18
2025-07-02 00:00:00+00:00,10,9,82,15
2025-07-03 00:00:00+00:00,17,15,68,16
2025-07-04 00:00:00+00:00,10,10,27,17
2025-07-05 00:00:00+00:00,3,3,22,11
2025-07-06 00:00:00+00:00,7,6,26,9
2025-07-07 00:00:00+00:00,9,7,63,25
2025-07-08 00:00:00+00:00,7,6,41,18
2025-07-09 00:00:00+00:00,5,5,82,16
