time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-25 00:00:00+00:00,10,6,51,18
2026-02-26 00:00:00+00:00,30,16,47,20
2026-02-27 00:00:00+00:00,18,8,40,13
2026-02-28 00:00:00+00:00,16,7,15,10
2026-03-01 00:00:00+00:00,5,5,10,6
2026-03-02 00:00:00+00:00,23,15,42,13
2026-03-03 00:00:00+00:00,29,18,43,22
2026-03-04 00:00:00+00:00,23,10,41,22
2026-03-05 00:00:00+00:00,13,8,44,20
2026-03-06 00:00:00+00:00,15,9,38,17
2026-03-07 00:00:00+00:00,9,5,21,15
2026-03-08 00:00:00+00:00,6,4,15,8
2026-03-09 00:00:00+00:00,17,8,39,19
2026-03-10 00:00:00+00:00,10,5,24,12
