time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-30 00:00:00+00:00,7,7,9,5
2025-08-31 00:00:00+00:00,7,7,7,6
2025-09-01 00:00:00+00:00,4,4,62,19
2025-09-02 00:00:00+00:00,260,5,23,16
2025-09-03 00:00:00+00:00,265,6,128,22
2025-09-04 00:00:00+00:00,4,3,70,20
2025-09-05 00:00:00+00:00,6,6,59,20
2025-09-06 00:00:00+00:00,1,1,13,8
2025-09-07 00:00:00+00:00,4,4,17,9
2025-09-08 00:00:00+00:00,1,1,39,12
2025-09-09 00:00:00+00:00,13,5,39,21
2025-09-10 00:00:00+00:00,4,3,76,19
2025-09-11 00:00:00+00:00,5,5,12,10
2025-09-12 00:00:00+00:00,10,5,42,16
