time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,11,8,56,15
2025-03-06 00:00:00+00:00,23,12,198,20
2025-03-07 00:00:00+00:00,13,8,45,17
2025-03-08 00:00:00+00:00,9,5,6,5
2025-03-09 00:00:00+00:00,13,9,66,18
2025-03-10 00:00:00+00:00,16,12,87,20
2025-03-11 00:00:00+00:00,6,5,42,18
2025-03-12 00:00:00+00:00,5,4,54,16
2025-03-13 00:00:00+00:00,44,11,192,21
2025-03-14 00:00:00+00:00,43,18,268,17
2025-03-15 00:00:00+00:00,12,8,51,8
2025-03-16 00:00:00+00:00,6,3,9,7
2025-03-17 00:00:00+00:00,32,14,148,11
2025-03-18 00:00:00+00:00,30,15,239,16
