url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,97,65
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,41,32
/PetervanLunteren/AddaxAI/actions,35,3
/PetervanLunteren/AddaxAI/issues/80,30,1
/PetervanLunteren/AddaxAI/issues/92,30,1
/PetervanLunteren/addaxai,27,1
/PetervanLunteren/AddaxAI/tree/main,26,13
/PetervanLunteren/AddaxAI/actions/workflows/build-macos-release.yml,26,1
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,25,14
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,24,18
