url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,129,68
/PetervanLunteren/AddaxAI/actions,43,2
/PetervanLunteren/addaxai,35,1
/PetervanLunteren/AddaxAI/releases,30,12
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,28,11
/PetervanLunteren/AddaxAI/tree/main,22,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,21,18
/PetervanLunteren/AddaxAI/issues,17,9
/PetervanLunteren/AddaxAI/tree/taxonomic-fallback/classification_utils/model_types,17,1
/PetervanLunteren/AddaxAI/actions/workflows/build-windows-release.yml,15,1
