url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,112,66
/PetervanLunteren/AddaxAI/actions,54,3
/PetervanLunteren/AddaxAI/tree/main,47,13
/PetervanLunteren/addaxai,38,1
/PetervanLunteren/AddaxAI/actions/workflows/build-macos-release.yml,34,1
/PetervanLunteren/AddaxAI/issues/80,33,1
/PetervanLunteren/AddaxAI/issues,32,9
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,30,23
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,30,11
/PetervanLunteren/AddaxAI/tree/main/model_info,29,8
